sportName,sportId,delayInSeconds,delayInSecondsOptimism,delayInSecondsArbitrum,delayInSecondsBase,delayInSecondsMolly
Tennis WTA GS semifinals,15217,5,3,6,5,3
Tennis WTA GS finals,15218,5,3,6,5,3
Tennis WTA1000 unknown round,15220,5,3,6,5,3
Tennis WTA1000 Qualification,15221,5,3,6,5,3
Tennis WTA1000 1st round,15222,5,3,6,5,3
Tennis WTA1000 2nd round,15223,5,3,6,5,3
Tennis WTA1000 3rt round,15224,5,3,6,5,3
Tennis WTA1000 4th round,15225,5,3,6,5,3
Tennis WTA1000 quarterfinals,15226,5,3,6,5,3
Tennis WTA1000 semifinals,15227,5,3,6,5,3
Tennis WTA1000 finals,15228,5,3,6,5,3
Tennis WTA500 unknown round,15230,5,3,6,5,3
Tennis WTA500 Qualification,15231,5,3,6,5,3
Tennis WTA500 1st round,15232,5,3,6,5,3
Tennis WTA500 2nd round,15233,5,3,6,5,3
Tennis WTA500 3rt round,15234,5,3,6,5,3
Tennis WTA500 4th round,15235,5,3,6,5,3
Tennis WTA500 quarterfinals,15236,5,3,6,5,3
Tennis WTA500 semifinals,15237,5,3,6,5,3
Tennis WTA500 finals,15238,5,3,6,5,3
Tennis WTA250 unknown round,15240,5,3,6,5,3
Tennis WTA250 Qualification,15241,5,3,6,5,3
Tennis WTA250 1st round,15242,5,3,6,5,3
Tennis WTA250 2nd round,15243,5,3,6,5,3
Tennis WTA250 3rt round,15244,5,3,6,5,3
Tennis WTA250 4th round,15245,5,3,6,5,3
Tennis WTA250 quarterfinals,15246,5,3,6,5,3
Tennis WTA250 semifinals,15247,5,3,6,5,3
Tennis WTA250 finals,15248,5,3,6,5,3
India - IPL,20,5,3,6,5,3
Pakistan - Super League,20305,5,3,6,5,3
England - T20 Blast,21,5,3,6,5,3
Czech Republic - Extraliga,310,5,3,6,5,3
Finland - SM Liiga,319,5,3,6,5,3
Russia - KHL,321,5,3,6,5,3
Germany - DEL,322,5,3,6,5,3
Austria - Ice Hockey League,323,5,3,6,5,3
Sweden - SHL,324,5,3,6,5,3
Switzerland - National League,327,5,3,6,5,3
USA - AHL,328,5,3,6,5,3
Australia - NRL,9500,5,3,6,5,3
England - Super League,9501,5,3,6,5,3
Oceania - Super Rugby,9502,5,3,6,5,3
International - Six Nations,9503,5,3,6,5,3
AFL,9510,5,3,6,5,3
College Baseball,303,5,3,6,5,3
KBO,302,5,3,6,5,3
NPB,301,5,6,7,6,3
Czech Republic - TT Cup Men,8911,5,3,6,5,3
Czech Republic - TT Liga Pro Men,8912,5,3,6,5,3
Poland - TT Elite Series Men,8913,5,3,6,5,3
WTT Men,8914,5,3,6,5,3
North Macedonia - Super Liga,379,5,3,6,5,3
Croatia - HB Premijer Liga,382,5,3,6,5,3
EHF - Champions League,383,5,3,6,5,3
EHF - Champions League Women,384,5,3,6,5,3
EHF - European League,385,5,3,6,5,3
France - LNH Division 1,386,5,3,6,5,3
Germany - HBL,387,5,3,6,5,3
Hungary - HNB I,388,5,3,6,5,3
Iceland - Urvalsdeild,389,5,3,6,5,3
IHF - World Championship,390,5,3,6,5,3
Norway - HB 1. Divisjon,391,5,3,6,5,3
Poland - Superliga,392,5,3,6,5,3
Russia - Super League,393,5,3,6,5,3
Serbia - Superliga,394,5,3,6,5,3
Slovakia - HB Extraliga,395,5,3,6,5,3
Slovenia - 1. Liga,396,5,3,6,5,3
Spain - ASOBAL,397,5,3,6,5,3
Sweden - Handbollsligan,398,5,3,6,5,3
ATP Challenger,157,5,3,6,5,3
Fina Waterpolo Men,20870,5,3,6,5,3
CFL,9520,5,3,6,5,3
CPBL,304,5,3,6,5,3
USA - MLB All Star,305,5,3,6,5,3
Mexico - LMB,306,5,3,6,5,3
USA - NBA Summer League,400,5,3,6,5,3
FIBA - World Cup Qualifiers,409,5,3,6,5,3
FIBA - EuroBasket,10502,5,3,6,5,3
FIBA - AfroBasket,20225,5,3,6,5,3
FIBA - Americup,20226,5,3,6,5,3
Turkey - BSL,20219,5,3,6,5,3
FIBA - Eurobasket Women,20220,5,3,6,5,3
Philippines - Phillipine Cup,20221,5,3,6,5,3
FIBA - Americup Women,20223,5,3,6,5,3
FIBA - World Cup Qualifiers,20215,5,3,6,5,3
FIBA - AfroBasket Qualifiers,20216,5,3,6,5,3
FIBA - World Cup U19,20222,5,3,6,5,3
ICC - T20 World Cup,20301,5,3,6,5,3
Australia - Big Bash League,20302,5,3,6,5,3
USA - Major League Cricket,20303,5,3,6,5,3
Australia - Big Bash League Women,20304,5,3,6,5,3
England - Premier League Darts,20320,5,3,6,5,3
PDC - World Cup of Darts,20321,5,3,6,5,3
Rocket League,20297,5,3,6,5,3
Starcraft,20299,5,3,6,5,3
Rainbow Six Siege,20293,5,3,6,5,3
Starcraft 2,20294,5,3,6,5,3
Mobile Legends Bang Bang,20295,5,3,6,5,3
UFC,7,5,3,6,5,3
PFL,9,5,3,6,5,3
UFL,9521,5,3,6,5,3
IIHF - World Championship,33,5,3,6,5,3
USA - National Lacrosse League,20310,5,3,6,5,3
USA - Premier Lacrosse League,20311,5,3,6,5,3
England - FA Cup,76,5,3,6,5,3
Saudi Arabia - Saudi League,288,5,3,6,5,3
Norway - Eliteserien,20150,5,3,6,5,3
USA - Open Cup,20151,5,3,6,5,3
FIFA - Club World Cup,20152,5,3,6,5,3
UEFA - Europa Conference League,9821,5,3,6,5,3
UEFA - Super Cup,20001,5,3,6,5,3
Czech Republic - FNL,20103,5,3,6,5,3
Chile - Primera Division,20104,5,3,6,5,3
Finland - Veikkausliiga,20105,5,3,6,5,3
Russia - Premier League,20107,5,3,6,5,3
Serbia - Super Liga,20109,5,3,6,5,3
India - Calcutta Premier Division,20111,5,3,6,5,3
Italy - Serie B,20117,5,3,6,5,3
India - Super League,20118,5,3,6,5,3
France - Ligue 2,20119,5,3,6,5,3
Denmark - Superliga,20121,5,3,6,5,3
Poland - Ekstraklasa,20122,5,3,6,5,3
Colombia - Primera A,20124,5,3,6,5,3
Uruguay - Primera Division,20127,5,3,6,5,3
CONCACAF - Gold Cup,20516,5,3,6,5,3
Ecuador - Serie A,20535,5,3,6,5,3
COSAFA - Cup,20555,5,3,6,5,3
Iceland - Besta Deild Karla,20578,5,3,6,5,3
Korea - K1 League,20603,5,3,6,5,3
Peru - Primera Division,20651,5,3,6,5,3
UEFA - European Championship U21,20712,5,3,6,5,3
UEFA - European Championship Women,20713,5,3,6,5,3
England - Womens Super League,20137,5,3,6,5,3
Italy - Serie A Femminile,20138,5,3,6,5,3
France - Premiere Ligue,20139,5,3,6,5,3
Germany - Frauen Bundesliga,20140,5,3,6,5,3
Spain - Liga F,20141,5,3,6,5,3
Netherlands - Vrouwen Eredivisie,20142,5,3,6,5,3
Belgium - Womens Super League,20143,5,3,6,5,3
UEFA - Champions League Women,20144,5,3,6,5,3
USA - NWSL,20145,5,3,6,5,3
Australia - A-League Women,20146,5,3,6,5,3
