name,sportId,marketName,bookmaker,secondBookmaker
England - Premier League,11,Player Props,XXX,
France - Ligue 1,12,Player Props,XXX,
Germany - Bundesliga,13,Player Props,XXX,
Spain - La Liga,14,Player Props,XXX,
Italy - Serie A,15,Player Props,XXX,
UEFA - Champions League,16,Player Props,XXX,
UEFA - Europa League,17,Player Props,XXX,
USA - Major League Soccer,10,Player Props,XXX,
FIFA - World Cup Qualifiers,18,Player Props,XXX,
FIFA - World Cup,22,Player Props,XXX,
Netherlands - Eredivisie,57,Player Props,XXX,
Portugal - Primeira Liga,61,Player Props,XXX,
Mexico - Liga MX,230,Player Props,XXX,
Brazil - Serie A,268,Player Props,XXX,
Saudi Arabia - Saudi League,536,Player Props,XXX,
UEFA - Nations League,9806,Player Props,XXX,
UEFA - Europa Conference League,10216,Player Props,XXX,
England - Championship,20011,Player Props,XXX,
Scotland - Premiership,20101,Player Props,XXX,
England - Premier League,11,Player Goals,blue book,
England - Premier League,11,Player Assists,blue book,
England - Premier League,11,Player Shots On Target,blue book,
England - Premier League,11,Player Fouls,draftkings,
England - Premier League,11,Player Fouls Drawn,draftkings,
England - Premier League,11,Player Tackles,draftkings,
England - Premier League,11,Player Saves,draftkings,
France - Ligue 1,12,Player Goals,blue book,
France - Ligue 1,12,Player Assists,blue book,
France - Ligue 1,12,Player Shots On Target,blue book,
France - Ligue 1,12,Player Fouls,draftkings,
France - Ligue 1,12,Player Fouls Drawn,draftkings,
France - Ligue 1,12,Player Tackles,draftkings,
France - Ligue 1,12,Player Saves,draftkings,
Germany - Bundesliga,13,Player Goals,blue book,
Germany - Bundesliga,13,Player Assists,blue book,
Germany - Bundesliga,13,Player Shots On Target,blue book,
Germany - Bundesliga,13,Player Fouls,draftkings,
Germany - Bundesliga,13,Player Fouls Drawn,draftkings,
Germany - Bundesliga,13,Player Tackles,draftkings,
Germany - Bundesliga,13,Player Saves,draftkings,
Spain - La Liga,14,Player Goals,blue book,
Spain - La Liga,14,Player Assists,blue book,
Spain - La Liga,14,Player Shots On Target,blue book,
Spain - La Liga,14,Player Fouls,draftkings,
Spain - La Liga,14,Player Fouls Drawn,draftkings,
Spain - La Liga,14,Player Tackles,draftkings,
Spain - La Liga,14,Player Saves,draftkings,
Italy - Serie A,15,Player Goals,blue book,
Italy - Serie A,15,Player Assists,blue book,
Italy - Serie A,15,Player Shots On Target,blue book,
Italy - Serie A,15,Player Fouls,draftkings,
Italy - Serie A,15,Player Fouls Drawn,draftkings,
Italy - Serie A,15,Player Tackles,draftkings,
Italy - Serie A,15,Player Saves,draftkings,
UEFA - Champions League,16,Player Goals,blue book,
UEFA - Champions League,16,Player Assists,blue book,
UEFA - Champions League,16,Player Shots On Target,blue book,
UEFA - Champions League,16,Player Fouls,draftkings,
UEFA - Champions League,16,Player Fouls Drawn,draftkings,
UEFA - Champions League,16,Player Tackles,draftkings,
UEFA - Champions League,16,Player Saves,draftkings,
