sportId,sportName,sgpEnabled
20116,Spain - La Liga 2,true
20117,Italy Serie B,true
20119,France ligue 2,true
20120,Austria league 1,true
20121,Denmark - Superliga,true
20122,Poland - Ekstraklasa,true
20123,Sweden - Allsvenskan,true
20124,Colombia - Primera A,true
20125,England EFL cup,true
20126,England - League 1,true
20127,Uruguay - Primera Division,true
20128,AFC - Champions League,true
20129,Super Coppa Italia,true
20130,France Super Cup,true
20131,Spain supercopa,true
20132,German Super cup,true
20133,Portugal League Cup,true
20134,Thai League 1,true
20135,Netherlands Cup,true
20136,Portugal Taka Cup,true
20137,ENGLAND_WOMENS_SUPER_LEAGUE,false
20138,ITALY_SERIE_A_FEMMINILE,false
20139,FRANCE_PREMIERE_LIGUE,false
20140,GERMANY_FRAUEN_BUNDESLIGA,false
20141,SPAIN_LIGA_F,false
20142,NETHERLANDS_VROUWEN_EREDIVISIE,false
20143,BELGIUM_WOMENS_SUPER_LEAGUE,false
20144,UEFA_CHAMPIONS_LEAGUE_WOMEN,false
20145,USA_NWSL,false
20146,AUSTRALIA_A_LEAGUE_WOMEN,false
20147,CONCACAF - Champions Cup,false
20148,UEFA - Nations League Women,false
20149,Canada - Premier League,false
20150,Norway - Eliteserien,false
20151,USA - Open Cup,false
20152,FIFA - Club World Cup,false
20160,Argentina - Copa Argentina,false
20161,Argentina - Primera Nacional,false
20166,Australia - Cup,false
20175,Austria - 2. Liga,false
20183,Belarus - Premier League,false
20184,Belgium - Challenger Pro League,false
20200,Eurocup,true
20201,SPAIN_LIGA_ACB,true
20202,ITALY_LEGA_BASKET_SERIA_A,true
20203,GERMANY_BBL,true
20204,FRANCE_LNB_PRO_A,true
20205,CHINA_CBA,true
20206,AUSTRALIA_NBL,true
20207,JAPAN_B1_LEAGUE,true
20208,KOREA_BBL,true
20209,ENGLAND_BBL,true
20210,BIG3,false
20211,NCAAW,true
20212,FIBA - Americup Qualifiers,true
20213,FIBA - Asia Cup Qualifiers,true
20215,FIBA - World Cup Qualifiers,true
20217,Greece - A1 League,true
20218,International - Champions League,true
20219,Turkey - BSL,true
20220,FIBA - Eurobasket Women,true
20221,Philippines - Phillipine Cup,true
20222,FIBA - World Cup U19,false
20223,FIBA - Americup Women,false
20224,FIBA - Eurobasket,true
20226,FIBA - Americup,true
20227,International - ABA League,false
20228,Israel - Super League,true
20229,International - VTB United League,false
20230,FIBA - Europe Cup,false
20231,Italy - Serie A2,false
20232,Euroleague Women,true
20233,Finland - Korisliiga,true
20234,Poland - PKL,true
20235,Korea - WKBL,true
20236,Korea - KBL,true
20238,Argentina - LNB,false
20239,Norway - BLNO,false
20240,Sweden - BasketLigaen,false
20241,Austria - BSL,false
20290,eBasketball - Valhalla,false
20291,Crossfire,false
20292,Kings of Glory,false
20293,Rainbow Six Siege,false
20294,Starcraft 2,false
20295,Mobile Legends Bang Bang,false
20296,Overwatch,false
20297,Rocket League,false
20298,Call of Duty,false
20300,Valorant,true
20301,ICC - T20 World Cup,false
20302,Australia - Big Bash League,false
20305,Pakistan - Super League,false
20306,International - T20 Matches,false
20310,USA - National Lacrosse League,false
20311,USA - Premier Lacrosse League,false
20320,England - Premier League Darts,false
20321,PDC - World Cup of Darts,false
20324,PDC - World Grand Prix,false
20325,PDC - Grand Slam Of Darts,false
20326,PDC - World Championship,false
20400,Argentina - Liga Argentina,false
20401,Argentina - Liga Argentina Women,false
20402,Austria - AVL,false
20403,Austria - WVL,false
20404,Belgium - Liga Dames,false
20405,Belgium - Liga Heren,false
20406,Brazil - Superliga,false
20407,Brazil - Superliga Women,false
20408,CEV - Champions League,false
20409,CEV - Champions League Women,false
20410,CEV - Cup,false
20411,CEV - Cup Women,false
20412,China - CVL,false
20413,China - CVL Women,false
20414,Czech Republic - VEL,false
20415,Czech Republic - VEL Women,false
20416,Denmark - Volleyligaen,false
20417,Denmark - Volleyligaen Women,false
20418,Finland - Mestaruusliiga,false
20419,Finland - Mestaruusliiga Women,false
20420,FIVB - Nations League,false
20421,FIVB - Nations League Women,false
20422,France - Ligue A,false
20423,France - Ligue A Women,false
20424,Germany - 1st Bundesliga,false
20425,Germany - 1st Bundesliga Women,false
20426,Iran - Super League,false
20427,Italy - Coppa Italia A1 Women,false
20428,Italy - Coppa Italia Superlega,false
20429,Italy - Serie A1 Women,false
20430,Italy - Superlega,false
20431,Japan - SV League,false
20432,Japan - SV League Women,false
20433,Norway - NVBF,false
20434,Philippines - PVL Women,false
20435,Poland - PlusLiga,false
20436,Russia - Superliga,false
20437,Russia - Superliga Women,false
20438,South Korea - V League,false
20439,South Korea - V League Women,false
20440,FIVB - World Championship Women,false
20441,FIVB - World Championship,false
20503,Brazil - Serie B,true
20507,Bulgaria - Parva Liga,true
20516,CONCACAF - Gold Cup,true
20517,Wales - Cymru Premier,true
20519,Costa Rica - Primera Division,true
20520,Croatia - 1. HNL,true
20524,Cyprus - First Division,true
20529,Czech Republic - First League,true
20531,Denmark - 1st Division,true
20535,Ecuador - Serie A,true
20538,Egypt - Premier League,true
20540,England - Community Shield,true
20543,England - League 2,true
20549,Estonia - Premium Liig,true
20555,COSAFA - Cup,true
20558,FIFA - Intercontinental Cup,true
20561,Georgia - Erovnuli Liga,true
20563,Germany - Bundesliga 3,true
20572,Hungary - NB I,true
20578,Iceland - Besta Deild Karla,true
20583,Indonesia - Liga 1,true
20584,International - Club Friendlies,true
20585,International - Friendlies,true
20586,International - Friendlies Women,true
20588,Ireland - Division 1,true
20590,Ireland - Premier League,true
20593,Israel - Premier League,true
20595,Japan - J2 League,true
20597,Japan - League Cup,true
20600,Kazakhstan - Premier League,true
20603,Korea - K1 League,true
20604,Algeria - Ligue 1,true
20612,Latvia - Virsliga,true
20616,Lithuania - A Lyga,true
20621,Malaysia - Super League,true
20624,Malta - Premier League,true
20634,Netherlands - Eerste Divisie,true
20637,North America - Leagues Cup,true
20639,Northern Ireland - Premiership,true
20642,Norway - 1. Divisjon,true
20649,Paraguay - Primera Division,true
20651,Peru - Primera Division,true
20656,Portugal - Liga 3,true
20657,Portugal - Segunda Liga,true
20658,Portugal - Super Cup,true
20659,Qatar - Stars League,true
20661,Romania - Liga I,true
20662,Romania - Liga II,true
20663,Russia - Cup,true
20664,Russia - First League,true
20669,Scotland - Championship,true
20676,Singapore - Premier League,true
20682,Slovenia - PrvaLiga,true
20683,South Africa - Premier League,true
20686,Sweden - Superettan,true
20688,Switzerland - Challenge League,true
20692,Turkey - 1. Lig,true
20694,UAE - Pro League,true
20702,USA - USL Championship,true
20707,Uzbekistan - Super League,true
20709,Vietnam - V League 1,true
20712,UEFA - European Championship U21,true
20713,UEFA - European Championship Women,true
20714,Slovakia - Superliga,true
20715,China - FA Cup,true
20716,Netherlands - Super Cup,true
20717,Ukraine - Premier League,true
20718,Italy - Serie C,true
20719,Japan - Emperor Cup,true
20720,CONMEBOL - Copa Sudamericana,true
20721,Bolivia - Division Professional,true
20722,Venezuela - Primera Division,true
20723,FIFA - Arab Nations Cup,true
20724,CAF - Africa Cup of Nations,true
20728,Spain - Primera Federacion,false
20870,FINA - World Championship,false
20871,FINA - World Championship Women,false
29999,USA - The Golf League,false
