name,leagueId,typeId,overtimeBetterOddsPercentage,mollyBetterOddsPercentage,onlyTestMode
Bundesliga Both teams to score 1st,13,10101,1.6,0.3,FALSE
France1 Moneyline,12,0,1.6,0.3,FALSE
France1 Handicap,12,10001,1.6,0.3,FALSE
France1 Total,12,10002,1.6,0.3,FALSE
France1 Draw no bet,12,10010,1.6,0.3,FALSE
France1 Total Home,12,10017,1.6,0.3,FALSE
France1 Total Away,12,10018,1.6,0.3,FALSE
France1 Total Odd/Even,12,10005,1.6,0.3,FALSE
France1 Both teams to score,12,10009,1.6,0.3,FALSE
France1 Moneyline 1st,12,10021,1.6,0.3,FALSE
France1 Handicap 1st,12,10041,1.6,0.3,FALSE
France1 Total 1st,12,10031,1.6,0.3,FALSE
France1 Draw no bet 1st,12,10121,1.6,0.3,FALSE
France1 Total Home 1st,12,10111,1.6,0.3,FALSE
France1 Total Away 1st,12,10112,1.6,0.3,FALSE
France1 Total Odd/Even 1st,12,10081,1.6,0.3,FALSE
France1 Both teams to score 1st,12,10101,1.6,0.3,FALSE
NBA Moneyline,4,0,1.1,0.3,FALSE
NBA Point Spread,4,10001,1.1,0.3,FALSE
NBA Total Points,4,10002,1.1,0.3,FALSE
NBA Team Total,4,10017,1.1,0.3,FALSE
NBA Team Total,4,10018,1.1,0.3,FALSE
