name,sportId,marketName,bookmaker,secondBookmaker
CS2,9977,1st Map Correct Pistol Round Score,thunderpick,
CS2,9977,2nd Map Correct Pistol Round Score,thunderpick,
CS2,9977,3rd Map Correct Pistol Round Score,thunderpick,
CS2,9977,1st Map Pistol Round 1 Moneyline,thunderpick,
CS2,9977,1st Map Pistol Round 2 Moneyline,thunderpick,
CS2,9977,2nd Map Pistol Round 1 Moneyline,thunderpick,
CS2,9977,2nd Map Pistol Round 2 Moneyline,thunderpick,
CS2,9977,3rd Map Pistol Round 1 Moneyline,thunderpick,
CS2,9977,3rd Map Pistol Round 2 Moneyline,thunderpick,
Dota 2,9983,1st Map Duration,thunderpick,
Dota 2,9983,2nd Map Duration,thunderpick,
Dota 2,9983,3rd Map Duration,thunderpick,
Dota 2,9983,1st Map Most Roshans Slain,thunderpick,
Dota 2,9983,1st Map Most Roshans Slain 3-Way,thunderpick,
Dota 2,9983,2nd Map Most Roshans Slain,thunderpick,
Dota 2,9983,2nd Map Most Roshans Slain 3-Way,thunderpick,
Dota 2,9983,3rd Map Most Roshans Slain,thunderpick,
Dota 2,9983,3rd Map Most Roshans Slain 3-Way,thunderpick,
Dota 2,9983,1st Map First Blood,thunderpick,
Dota 2,9983,2nd Map First Blood,thunderpick,
Dota 2,9983,3rd Map First Blood,thunderpick,
Dota 2,9983,1st Map Both Teams To Slay Roshan,thunderpick,
Dota 2,9983,2nd Map Both Teams To Slay Roshan,thunderpick,
Dota 2,9983,3rd Map Both Teams To Slay Roshan,thunderpick,
Dota 2,9983,1st Map Team First Roshan,thunderpick,
Dota 2,9983,2nd Map Team First Roshan,thunderpick,
Dota 2,9983,3rd Map Team First Roshan,thunderpick,
Dota 2,9983,1st Map Team First Tower,dafabet,
Dota 2,9983,2nd Map Team First Tower,dafabet,
Dota 2,9983,3rd Map Team First Tower,dafabet,
Dota 2,9983,1st Map Total Towers Destroyed,dafabet,
Dota 2,9983,2nd Map Total Towers Destroyed,dafabet,
Dota 2,9983,3rd Map Total Towers Destroyed,dafabet,
League of Legends,10138,1st Map Duration,thunderpick,
League of Legends,10138,2nd Map Duration,thunderpick,
League of Legends,10138,3rd Map Duration,thunderpick,
League of Legends,10138,1st Map Most Barons Slain,thunderpick,
League of Legends,10138,1st Map Most Barons Slain 3-Way,thunderpick,
League of Legends,10138,2nd Map Most Barons Slain,thunderpick,
League of Legends,10138,2nd Map Most Barons Slain 3-Way,thunderpick,
League of Legends,10138,3rd Map Most Barons Slain,thunderpick,
League of Legends,10138,3rd Map Most Barons Slain 3-Way,thunderpick,
League of Legends,10138,1st Map First Blood,thunderpick,
League of Legends,10138,2nd Map First Blood,thunderpick,
League of Legends,10138,3rd Map First Blood,thunderpick,
League of Legends,10138,1st Map Both Teams To Slay Baron,thunderpick,
League of Legends,10138,2nd Map Both Teams To Slay Baron,thunderpick,
League of Legends,10138,3rd Map Both Teams To Slay Baron,thunderpick,
League of Legends,10138,1st Map Team First Baron,thunderpick,
League of Legends,10138,2nd Map Team First Baron,thunderpick,
League of Legends,10138,3rd Map Team First Baron,thunderpick,
League of Legends,10138,1st Map Team Destroy First Inhibitor,thunderpick,
League of Legends,10138,2nd Map Team Destroy First Inhibitor,thunderpick,
League of Legends,10138,3rd Map Team Destroy First Inhibitor,thunderpick,
League of Legends,10138,1st Map Total Towers Destroyed,sportzino,
League of Legends,10138,2nd Map Total Towers Destroyed,sportzino,
League of Legends,10138,3rd Map Total Towers Destroyed,sportzino,
Valorant,20300,Will There Be Overtime,thunderpick,
Valorant,20300,1st Map Correct Pistol Round Score,thunderpick,
Valorant,20300,2nd Map Correct Pistol Round Score,thunderpick,
Valorant,20300,3rd Map Correct Pistol Round Score,thunderpick,
Valorant,20300,1st Map Pistol Round 1 Moneyline,thunderpick,
Valorant,20300,1st Map Pistol Round 2 Moneyline,thunderpick,
Valorant,20300,2nd Map Pistol Round 1 Moneyline,thunderpick,
Valorant,20300,2nd Map Pistol Round 2 Moneyline,thunderpick,
Valorant,20300,3rd Map Pistol Round 1 Moneyline,thunderpick,
Valorant,20300,3rd Map Pistol Round 2 Moneyline,thunderpick,
CS2,9977,Player Props,rimble,
Dota 2,9983,Player Props,rimble,
League of Legends,10138,Player Props,rimble,
Valorant,20300,Player Props,rimble,
England - Premier League,11,Player Props,XXX,
France - Ligue 1,12,Player Props,XXX,
Germany - Bundesliga,13,Player Props,XXX,
Spain - La Liga,14,Player Props,XXX,
Italy - Serie A,15,Player Props,XXX,
UEFA - Champions League,16,Player Props,XXX,
UEFA - Europa League,17,Player Props,XXX,
USA - Major League Soccer,10,Player Props,XXX,
FIFA - World Cup Qualifiers,18,Player Props,XXX,
FIFA - World Cup,22,Player Props,XXX,
Netherlands - Eredivisie,57,Player Props,XXX,
Portugal - Primeira Liga,61,Player Props,XXX,
Mexico - Liga MX,230,Player Props,XXX,
Brazil - Serie A,268,Player Props,XXX,
Saudi Arabia - Saudi League,536,Player Props,XXX,
UEFA - Nations League,9806,Player Props,XXX,
UEFA - Europa Conference League,10216,Player Props,XXX,
England - Championship,20011,Player Props,XXX,
Scotland - Premiership,20101,Player Props,XXX,
England - Premier League,11,Player Goals,blue book,
England - Premier League,11,Player Assists,blue book,
England - Premier League,11,Player Shots On Target,blue book,
England - Premier League,11,Player Fouls,draftkings,
England - Premier League,11,Player Fouls Drawn,draftkings,
England - Premier League,11,Player Tackles,draftkings,
England - Premier League,11,Player Saves,draftkings,
England - Premier League,11,Player Offsides,draftkings,
France - Ligue 1,12,Player Goals,blue book,
France - Ligue 1,12,Player Assists,blue book,
France - Ligue 1,12,Player Shots On Target,blue book,
France - Ligue 1,12,Player Fouls,draftkings,
France - Ligue 1,12,Player Fouls Drawn,draftkings,
France - Ligue 1,12,Player Tackles,draftkings,
France - Ligue 1,12,Player Saves,draftkings,
France - Ligue 1,12,Player Offsides,draftkings,
Germany - Bundesliga,13,Player Goals,blue book,
Germany - Bundesliga,13,Player Assists,blue book,
Germany - Bundesliga,13,Player Shots On Target,blue book,
Germany - Bundesliga,13,Player Fouls,draftkings,
Germany - Bundesliga,13,Player Fouls Drawn,draftkings,
Germany - Bundesliga,13,Player Tackles,draftkings,
Germany - Bundesliga,13,Player Saves,draftkings,
Germany - Bundesliga,13,Player Offsides,draftkings,
Spain - La Liga,14,Player Goals,blue book,
Spain - La Liga,14,Player Assists,blue book,
Spain - La Liga,14,Player Shots On Target,blue book,
Spain - La Liga,14,Player Fouls,draftkings,
Spain - La Liga,14,Player Fouls Drawn,draftkings,
Spain - La Liga,14,Player Tackles,draftkings,
Spain - La Liga,14,Player Saves,draftkings,
Spain - La Liga,14,Player Offsides,draftkings,
Italy - Serie A,15,Player Goals,blue book,
Italy - Serie A,15,Player Assists,blue book,
Italy - Serie A,15,Player Shots On Target,blue book,
Italy - Serie A,15,Player Fouls,draftkings,
Italy - Serie A,15,Player Fouls Drawn,draftkings,
Italy - Serie A,15,Player Tackles,draftkings,
Italy - Serie A,15,Player Saves,draftkings,
Italy - Serie A,15,Player Offsides,draftkings,
UEFA - Champions League,16,Player Goals,blue book,
UEFA - Champions League,16,Player Assists,blue book,
UEFA - Champions League,16,Player Shots On Target,blue book,
UEFA - Champions League,16,Player Fouls,draftkings,
UEFA - Champions League,16,Player Fouls Drawn,draftkings,
UEFA - Champions League,16,Player Tackles,draftkings,
UEFA - Champions League,16,Player Saves,draftkings,
UEFA - Champions League,16,Player Offsides,draftkings,
UEFA - Europa League,17,Player Goals,blue book,
UEFA - Europa League,17,Player Assists,blue book,
UEFA - Europa League,17,Player Shots On Target,blue book,
UEFA - Europa League,17,Player Fouls,draftkings,
UEFA - Europa League,17,Player Fouls Drawn,draftkings,
UEFA - Europa League,17,Player Tackles,draftkings,
UEFA - Europa League,17,Player Saves,draftkings,
UEFA - Europa League,17,Player Offsides,draftkings,
FIFA World Cup,18,Player Goals,blue book,
FIFA World Cup,18,Player Assists,blue book,
FIFA World Cup,18,Player Shots On Target,blue book,
England - Premier League,11,Halftime / Fulltime,DraftKings,
France - Ligue 1,12,Halftime / Fulltime,DraftKings,
Germany - Bundesliga,13,Halftime / Fulltime,DraftKings,
Spain - La Liga,14,Halftime / Fulltime,DraftKings,
Italy - Serie A,15,Halftime / Fulltime,DraftKings,
FIFA World Cup,18,Halftime / Fulltime,DraftKings,
UEFA - Champions League,16,Halftime / Fulltime,DraftKings,
PDC - World Championship,20326,Correct Set Score,draftkings,
PDC - World Championship,20326,Total 180s,draftkings,
PDC - World Championship,20326,Most 180s 3-Way,draftkings,
PDC - World Championship,20326,Total 100+ Checkouts,draftkings,
PDC - World Championship,20326,Highest Checkout,draftkings,
PDC - World Championship,20326,Player Highest Checkout,draftkings,
PDC - World Championship,20326,Player 180s,draftkings,
England - Premier League Darts,20320,Correct Set Score,draftkings,
England - Premier League Darts,20320,Total 180s,draftkings,
England - Premier League Darts,20320,Most 180s 3-Way,draftkings,
England - Premier League Darts,20320,Total 100+ Checkouts,draftkings,
England - Premier League Darts,20320,Highest Checkout,draftkings,
England - Premier League Darts,20320,Player Highest Checkout,draftkings,
England - Premier League Darts,20320,Player 180s,draftkings,
Australia - Big Bash League,20302,Total Sixes,draftkings,
Australia - Big Bash League,20302,Total Fours,draftkings,
Australia - Big Bash League,20302,Team Total Sixes,draftkings,
Australia - Big Bash League,20302,Team Total Fours,draftkings,
Australia - Big Bash League,20302,Most Sixes 3-Way,draftkings,
Australia - Big Bash League,20302,Most Fours 3-Way,draftkings,
Australia - Big Bash League,20302,Player Runs,draftkings,
Australia - Big Bash League,20302,Player Sixes,draftkings,
Australia - Big Bash League,20302,Player Fours,draftkings,
Australia - Big Bash League,20302,Player Wickets Taken,draftkings,
England - Premier League,11,2nd Half Asian Handicap,opticodds ai,
England - Premier League,11,2nd Half Moneyline,opticodds ai,
England - Premier League,11,2nd Half Total Goals,opticodds ai,
England - Premier League,11,2nd Half Both Teams To Score,opticodds ai,
England - Premier League,11,2nd Half Team Total,opticodds ai,
England - Premier League,11,2nd Half Draw No Bet,opticodds ai,
England - Premier League,11,2nd Half Double Chance,opticodds ai,
England - Premier League,11,Last Team To Score,Draftkings,
England - Premier League,11,Team To Win Both Halves,Betano,
England - Premier League,11,Team To Win Either Half,Betano,
England - Premier League,11,Goal Both Halves,Betano,
England - Premier League,11,Team To Score Both Halves,Betano,
England - Premier League,11,Total Shots,Betano,
England - Premier League,11,Total Shots On Target,Betano,
England - Premier League,11,Team Total Shots,Betano,
England - Premier League,11,Team Total Shots On Target,Betano,
England - Premier League,11,Total Offsides,Betano,
England - Premier League,11,2nd Half Total Corners,opticodds ai,
England - Premier League,11,1st Half Team Total Corners,opticodds ai,
England - Premier League,11,2nd Half Team Total Corners,opticodds ai,
England - Premier League,11,Most Corners 3-Way,opticodds ai,
England - Premier League,11,1st Half Most Corners 3-Way,opticodds ai,
England - Premier League,11,2nd Half Most Corners 3-Way,opticodds ai,
France - Ligue 1,12,2nd Half Asian Handicap,opticodds ai,
France - Ligue 1,12,2nd Half Moneyline,opticodds ai,
France - Ligue 1,12,2nd Half Total Goals,opticodds ai,
France - Ligue 1,12,2nd Half Both Teams To Score,opticodds ai,
France - Ligue 1,12,2nd Half Team Total,opticodds ai,
France - Ligue 1,12,2nd Half Draw No Bet,opticodds ai,
France - Ligue 1,12,2nd Half Double Chance,opticodds ai,
France - Ligue 1,12,Last Team To Score,Draftkings,
France - Ligue 1,12,Team To Win Both Halves,Betano,
France - Ligue 1,12,Team To Win Either Half,Betano,
France - Ligue 1,12,Goal Both Halves,Betano,
France - Ligue 1,12,Team To Score Both Halves,Betano,
France - Ligue 1,12,Total Shots,Betano,
France - Ligue 1,12,Total Shots On Target,Betano,
France - Ligue 1,12,Team Total Shots,Betano,
France - Ligue 1,12,Team Total Shots On Target,Betano,
France - Ligue 1,12,Total Offsides,Betano,
France - Ligue 1,12,2nd Half Total Corners,opticodds ai,
France - Ligue 1,12,1st Half Team Total Corners,opticodds ai,
France - Ligue 1,12,2nd Half Team Total Corners,opticodds ai,
France - Ligue 1,12,Most Corners 3-Way,opticodds ai,
France - Ligue 1,12,1st Half Most Corners 3-Way,opticodds ai,
France - Ligue 1,12,2nd Half Most Corners 3-Way,opticodds ai,
Germany - Bundesliga,13,2nd Half Asian Handicap,opticodds ai,
Germany - Bundesliga,13,2nd Half Moneyline,opticodds ai,
Germany - Bundesliga,13,2nd Half Total Goals,opticodds ai,
Germany - Bundesliga,13,2nd Half Both Teams To Score,opticodds ai,
Germany - Bundesliga,13,2nd Half Team Total,opticodds ai,
Germany - Bundesliga,13,2nd Half Draw No Bet,opticodds ai,
Germany - Bundesliga,13,2nd Half Double Chance,opticodds ai,
Germany - Bundesliga,13,Last Team To Score,Draftkings,
Germany - Bundesliga,13,Team To Win Both Halves,Betano,
Germany - Bundesliga,13,Team To Win Either Half,Betano,
Germany - Bundesliga,13,Goal Both Halves,Betano,
Germany - Bundesliga,13,Team To Score Both Halves,Betano,
Germany - Bundesliga,13,Total Shots,Betano,
Germany - Bundesliga,13,Total Shots On Target,Betano,
Germany - Bundesliga,13,Team Total Shots,Betano,
Germany - Bundesliga,13,Team Total Shots On Target,Betano,
Germany - Bundesliga,13,Total Offsides,Betano,
Germany - Bundesliga,13,2nd Half Total Corners,opticodds ai,
Germany - Bundesliga,13,1st Half Team Total Corners,opticodds ai,
Germany - Bundesliga,13,2nd Half Team Total Corners,opticodds ai,
Germany - Bundesliga,13,Most Corners 3-Way,opticodds ai,
Germany - Bundesliga,13,1st Half Most Corners 3-Way,opticodds ai,
Germany - Bundesliga,13,2nd Half Most Corners 3-Way,opticodds ai,
Spain - La Liga,14,2nd Half Asian Handicap,opticodds ai,
Spain - La Liga,14,2nd Half Moneyline,opticodds ai,
Spain - La Liga,14,2nd Half Total Goals,opticodds ai,
Spain - La Liga,14,2nd Half Both Teams To Score,opticodds ai,
Spain - La Liga,14,2nd Half Team Total,opticodds ai,
Spain - La Liga,14,2nd Half Draw No Bet,opticodds ai,
Spain - La Liga,14,2nd Half Double Chance,opticodds ai,
Spain - La Liga,14,Last Team To Score,Draftkings,
Spain - La Liga,14,Team To Win Both Halves,Betano,
Spain - La Liga,14,Team To Win Either Half,Betano,
Spain - La Liga,14,Goal Both Halves,Betano,
Spain - La Liga,14,Team To Score Both Halves,Betano,
Spain - La Liga,14,Total Shots,Betano,
Spain - La Liga,14,Total Shots On Target,Betano,
Spain - La Liga,14,Team Total Shots,Betano,
Spain - La Liga,14,Team Total Shots On Target,Betano,
Spain - La Liga,14,Total Offsides,Betano,
Spain - La Liga,14,2nd Half Total Corners,opticodds ai,
Spain - La Liga,14,1st Half Team Total Corners,opticodds ai,
Spain - La Liga,14,2nd Half Team Total Corners,opticodds ai,
Spain - La Liga,14,Most Corners 3-Way,opticodds ai,
Spain - La Liga,14,1st Half Most Corners 3-Way,opticodds ai,
Spain - La Liga,14,2nd Half Most Corners 3-Way,opticodds ai,
Italy - Serie A,15,2nd Half Asian Handicap,opticodds ai,
Italy - Serie A,15,2nd Half Moneyline,opticodds ai,
Italy - Serie A,15,2nd Half Total Goals,opticodds ai,
Italy - Serie A,15,2nd Half Both Teams To Score,opticodds ai,
Italy - Serie A,15,2nd Half Team Total,opticodds ai,
Italy - Serie A,15,2nd Half Draw No Bet,opticodds ai,
Italy - Serie A,15,2nd Half Double Chance,opticodds ai,
Italy - Serie A,15,Last Team To Score,Draftkings,
Italy - Serie A,15,Team To Win Both Halves,Betano,
Italy - Serie A,15,Team To Win Either Half,Betano,
Italy - Serie A,15,Goal Both Halves,Betano,
Italy - Serie A,15,Team To Score Both Halves,Betano,
Italy - Serie A,15,Total Shots,Betano,
Italy - Serie A,15,Total Shots On Target,Betano,
Italy - Serie A,15,Team Total Shots,Betano,
Italy - Serie A,15,Team Total Shots On Target,Betano,
Italy - Serie A,15,Total Offsides,Betano,
Italy - Serie A,15,2nd Half Total Corners,opticodds ai,
Italy - Serie A,15,1st Half Team Total Corners,opticodds ai,
Italy - Serie A,15,2nd Half Team Total Corners,opticodds ai,
Italy - Serie A,15,Most Corners 3-Way,opticodds ai,
Italy - Serie A,15,1st Half Most Corners 3-Way,opticodds ai,
Italy - Serie A,15,2nd Half Most Corners 3-Way,opticodds ai,
UEFA - Champions League,16,2nd Half Asian Handicap,opticodds ai,
UEFA - Champions League,16,2nd Half Moneyline,opticodds ai,
UEFA - Champions League,16,2nd Half Total Goals,opticodds ai,
UEFA - Champions League,16,2nd Half Both Teams To Score,opticodds ai,
UEFA - Champions League,16,2nd Half Team Total,opticodds ai,
UEFA - Champions League,16,2nd Half Draw No Bet,opticodds ai,
UEFA - Champions League,16,2nd Half Double Chance,opticodds ai,
UEFA - Champions League,16,Last Team To Score,Draftkings,
UEFA - Champions League,16,Team To Win Both Halves,Betano,
UEFA - Champions League,16,Team To Win Either Half,Betano,
UEFA - Champions League,16,Goal Both Halves,Betano,
UEFA - Champions League,16,Team To Score Both Halves,Betano,
UEFA - Champions League,16,Total Shots,Betano,
UEFA - Champions League,16,Total Shots On Target,Betano,
UEFA - Champions League,16,Team Total Shots,Betano,
UEFA - Champions League,16,Team Total Shots On Target,Betano,
UEFA - Champions League,16,Total Offsides,Betano,
UEFA - Champions League,16,2nd Half Total Corners,opticodds ai,
UEFA - Champions League,16,1st Half Team Total Corners,opticodds ai,
UEFA - Champions League,16,2nd Half Team Total Corners,opticodds ai,
UEFA - Champions League,16,Most Corners 3-Way,opticodds ai,
UEFA - Champions League,16,1st Half Most Corners 3-Way,opticodds ai,
UEFA - Champions League,16,2nd Half Most Corners 3-Way,opticodds ai,
UEFA - Europa League,17,2nd Half Asian Handicap,opticodds ai,
UEFA - Europa League,17,2nd Half Moneyline,opticodds ai,
UEFA - Europa League,17,2nd Half Total Goals,opticodds ai,
UEFA - Europa League,17,2nd Half Both Teams To Score,opticodds ai,
UEFA - Europa League,17,2nd Half Team Total,opticodds ai,
UEFA - Europa League,17,2nd Half Draw No Bet,opticodds ai,
UEFA - Europa League,17,2nd Half Double Chance,opticodds ai,
UEFA - Europa League,17,Last Team To Score,Draftkings,
UEFA - Europa League,17,Team To Win Both Halves,Betano,
UEFA - Europa League,17,Team To Win Either Half,Betano,
UEFA - Europa League,17,Goal Both Halves,Betano,
UEFA - Europa League,17,Team To Score Both Halves,Betano,
UEFA - Europa League,17,Total Shots,Betano,
UEFA - Europa League,17,Total Shots On Target,Betano,
UEFA - Europa League,17,Team Total Shots,Betano,
