name,sportId,typeId,marketName,type,enabled,minOdds,maxOdds
NCAAB,5,10024,4th Quarter Moneyline,Moneyline,true,0.99,0.01
NCAAB,5,10051,1st Half Moneyline,Moneyline,true,0.99,0.01
NCAAB,5,10052,2nd Half Moneyline,Moneyline,true,0.99,0.01
NHL,6,0,Moneyline,Moneyline,true,0.75,0.25
NHL,6,10001,Puck Line,Spread,true,0.75,0.25
NHL,6,10002,Total Goals,Total,true,0.75,0.25
NHL,6,10017,Team Total,Total,true,0.75,0.25
NHL,6,10018,Team Total,Total,true,0.75,0.25
NHL,6,10031,1st Period Total Goals,Total,true,0.75,0.25
NHL,6,10032,2nd Period Total Goals,Total,true,0.75,0.25
NHL,6,10033,3rd Period Total Goals,Total,true,0.75,0.25
NHL,6,10041,1st Period Puck Line,Spread,true,0.75,0.25
NHL,6,10042,2nd Period Puck Line,Spread,true,0.75,0.25
NHL,6,10043,3rd Period Puck Line,Spread,true,0.75,0.25
NHL,6,10021,1st Period Moneyline 3-Way,Moneyline,true,0.99,0.01
NHL,6,10022,2nd Period Moneyline 3-Way,Moneyline,true,0.99,0.01
NHL,6,10023,3rd Period Moneyline 3-Way,Moneyline,true,0.99,0.01
WNBA,8,0,Moneyline,Moneyline,true,0.75,0.25
WNBA,8,10001,Point Spread,Spread,true,0.75,0.25
WNBA,8,10002,Total Points,Total,true,0.75,0.25
MLS,10,0,Moneyline,Moneyline,true,0.75,0.25
MLS,10,10001,Goal Spread,Spread,false,0.75,0.25
MLS,10,10002,Total Goals,Total,false,0.75,0.25
EPL,11,0,Moneyline,Moneyline,true,0.75,0.25
EPL,11,10001,Goal Spread,Spread,true,0.75,0.25
EPL,11,10002,Total Goals,Total,true,0.75,0.25
EPL,11,10017,Team Total,Total,true,0.75,0.25
EPL,11,10018,Team Total,Total,true,0.75,0.25
EPL,11,10031,1st Half Total Goals,Total,true,0.75,0.25
EPL,11,10032,2nd Half Total Goals,Total,true,0.75,
EPL,11,10021,1st Half Moneyline,Moneyline,true,0.99,0.01
EPL,11,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01
Ligue 1,12,0,Moneyline,Moneyline,true,0.75,0.25
Ligue 1,12,10001,Goal Spread,Spread,true,0.75,0.25
Ligue 1,12,10002,Total Goals,Total,true,0.75,0.25
Ligue 1,12,10017,Team Total,Total,true,0.75,0.25
Ligue 1,12,10018,Team Total,Total,true,0.75,0.25
Ligue 1,12,10031,1st Half Total Goals,Total,true,0.75,0.25
Ligue 1,12,10032,2nd Half Total Goals,Total,true,0.75,
Ligue 1,12,10021,1st Half Moneyline,Moneyline,true,0.99,0.01
Ligue 1,12,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01
Bundesliga,13,0,Moneyline,Moneyline,true,0.75,0.25
Bundesliga,13,10001,Goal Spread,Spread,true,0.75,0.25
Bundesliga,13,10002,Total Goals,Total,true,0.75,0.25
Bundesliga,13,10017,Team Total,Total,true,0.75,0.25
Bundesliga,13,10018,Team Total,Total,true,0.75,0.25
Bundesliga,13,10031,1st Half Total Goals,Total,true,0.75,0.25
Bundesliga,13,10032,2nd Half Total Goals,Total,true,0.75,
Bundesliga,13,10021,1st Half Moneyline,Moneyline,true,0.99,0.01
Bundesliga,13,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01
La Liga,14,0,Moneyline,Moneyline,true,0.75,0.25
La Liga,14,10001,Goal Spread,Spread,true,0.75,0.25
La Liga,14,10002,Total Goals,Total,true,0.75,0.25
La Liga,14,10017,Team Total,Total,true,0.75,0.25
La Liga,14,10018,Team Total,Total,true,0.75,0.25
La Liga,14,10031,1st Half Total Goals,Total,true,0.75,0.25
La Liga,14,10032,2nd Half Total Goals,Total,true,0.75,
La Liga,14,10021,1st Half Moneyline,Moneyline,true,0.99,0.01
La Liga,14,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01
Serie A,15,0,Moneyline,Moneyline,true,0.75,0.25
Serie A,15,10001,Goal Spread,Spread,true,0.75,0.25
Serie A,15,10002,Total Goals,Total,true,0.75,0.25
Serie A,15,10017,Team Total,Total,true,0.75,0.25
Serie A,15,10018,Team Total,Total,true,0.75,0.25
Serie A,15,10031,1st Half Total Goals,Total,true,0.75,0.25
Serie A,15,10032,2nd Half Total Goals,Total,true,0.75,
Serie A,15,10021,1st Half Moneyline,Moneyline,true,0.99,0.01
Serie A,15,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01
UEFA Champions League,16,0,Moneyline,Moneyline,true,0.75,0.25
UEFA Champions League,16,10001,Goal Spread,Spread,true,0.75,0.25
UEFA Champions League,16,10002,Total Goals,Total,true,0.75,0.25
UEFA Champions League,16,10017,Team Total,Total,true,0.75,0.25
UEFA Champions League,16,10018,Team Total,Total,true,0.75,0.25
UEFA Champions League,16,10031,1st Half Total Goals,Total,true,0.75,0.25
UEFA Champions League,16,10032,2nd Half Total Goals,Total,true,0.75,
UEFA Champions League,16,10021,1st Half Moneyline,Moneyline,true,0.99,0.01
UEFA Champions League,16,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01
UEFA Europa League,17,0,Moneyline,Moneyline,true,0.75,0.25
UEFA Europa League,17,10001,Goal Spread,Spread,true,0.75,0.25
UEFA Europa League,17,10002,Total Goals,Total,true,0.75,0.25
UEFA Europa League,17,10017,Team Total,Total,true,0.75,0.25
