sportName,sportId,tournamentsGS,tournaments1000,tournaments500,tournaments250,tournaments125,comment
ATP,156,French Open Paris France Qualifying;French Open Paris France;Wimbledon London Great Britain;Wimbledon London Great Britain Qualifying;US Open New York USA;US Open New York USA Qualifying;Tour Finals Turin Italy Group Jimmy Connors;Tour Finals Turin Italy Group Bjorn Borg;Tour Finals Turin Italy;Australian Open Melbourne Australia Qualifying;Australian Open Melbourne Australia,Indian Wells USA;Miami USA;Monte Carlo Monaco;Madrid Spain;Madrid Spain Qualifying;Rome Italy Qualifying;Rome Italy;Toronto Canada;Toronto Canada Qualifying;Cincinnati USA;Cincinnati USA Qualifying;Shanghai China;Shanghai China Qualifying;Paris France; Paris France Qualifying,Dallas USA;Rotterdam Netherlands;Dallas USA Qualifying;Rotterdam Netherlands Qualifying;Dubai UAE;Acapulco Mexico;Barcelona Spain;Munich Germany;Munich Germany Qualifying;Barcelona Spain Qualifying;Hamburg Germany;Hamburg Germany Qualifying;S-Hertogenbosch Netherlands;Stuttgart Germany;S-Hertogenbosch Netherlands Qualifying;Stuttgart Germany Qualifying;Halle Germany Qualifying;Halle Germany;Tokyo Japan;Beijing China;Tokyo Japan Qualifying;Beijing China Qualifying;London Great Britain Qualifying;London Great Britain;Washington USA Qualifying;Washington USA;Vienna Austria;Basel Switzerland;Vienna Austria Qualifying;Basel Switzerland Qualifying,Buenos Aires Argentina;Buenos Aires Argentina Qualifying;Brisbane Australia Qualifying;Brisbane Australia;Hong Kong Hong Kong Qualifying;Hong Kong Hong Kong;Santiago Chile;Houston USA;Marrakech Morocco;Bucharest Romania;Geneva Switzerland;Geneva Switzerland Qualifying;Mallorca Spain;Mallorca Spain Qualifying;Eastbourne Great Britain;Eastbourne Great Britain Qualifying;Los Cabos Mexico;Gstaad Switzerland;Bastad Sweden;Kitzbuhel Austria;Umag Croatia;Los Cabos Mexico Qualifying;Gstaad Switzerland Qualifying;Bastad Sweden Qualifying;Kitzbuhel Austria Qualifying;Umag Croatia Qualifying;Winston Salem USA;Winston Salem USA Qualifying;Chengdu China;Hangzhou China;Chengdu China Qualifying;Hangzhou China Qualifying;Almaty Kazakhstan;Brussels Belgium;Stockholm Sweden;Almaty Kazakhstan Qualifying;Brussels Belgium Qualifying;Stockholm Sweden Qualifying;Athens Greece;Metz France;Athens Greece Qualifying;Metz France Qualifying;Auckland New Zealand Qualifying;Auckland New Zealand;Adelaide Australia Qualifying;Adelaide Australia;Montpellier France;Montpellier France Qualifying,,no 125 at ATP - different sportId
WTA,152,French Open Paris France Qualifying;French Open Paris France;Wimbledon London Great Britain;Wimbledon London Great Britain Qualifying;US Open New York USA;US Open New York USA Qualifying;WTA Tour Finals Serena Williams Group;WTA Tour Finals Stefanie Graf Group;WTA Tour Finals;Australian Open Melbourne Australia Qualifying;Australian Open Melbourne Australia,Indian Wells USA;Miami USA;Madrid Spain;Madrid Spain Qualifying;Montreal Canada;Montreal Canada Qualifying;Cincinnati USA;Cincinnati USA Qualifying;Beijing China;Beijing China Qualifying;Wuhan China;Wuhan China Qualifying;Doha Qatar;Doha Qatar Qualifying,Brisbane Australia Qualifying;Brisbane Australia;Merida Mexico;Charleston USA;Stuttgart Germany;Strasbourg France;Strasbourg France Qualifying;S-Hertogenbosch Netherlands;S-Hertogenbosch Netherlands Qualifying;Berlin Germany Qualifying;Berlin Germany;Bad Homburg Germany;Bad Homburg Germany Qualifying;Washington USA Qualifying;Washington USA;Monterrey Mexico;Monterrey Mexico Qualifying;Guadalajara Mexico;Guadalajara Mexico Qualifying;Seoul Korea Republic;Seoul Korea Republic Qualifying;Ningbo China;Ningbo China Qualifying;Tokyo Japan;Tokyo Japan Qualifying;Adelaide Australia Qualifying;Adelaide Australia;Abu Dhabi UAE;Abu Dhabi UAE Qualifying,Cluj Napoca Romania;Cluj Napoca Romania Qualifying;Ostrava Czech Republic;Ostrava Czech Republic Qualifying;Auckland New Zealand Qualifying;Auckland New Zealand;Austin USA;Bogota Colombia;Rouen France;Rabat Morocco;Rabat Morocco Qualifying;London Great Britain;London Great Britain Qualifying;Nottingham Great Britain Qualifying;Nottingham Great Britain;Eastbourne Great Britain;Eastbourne Great Britain Qualifying;Hamburg Germany;Iasi Romania;Prague Czech Republic;Hamburg Germany Qualifying;Iasi Romania Qualifying;Prague Czech Republic Qualifying;Cleveland USA;Cleveland USA Qualifying;Sao Paulo Brazil;Sao Paulo Brazil Qualifying;Osaka Japan;Osaka Japan Qualifying;Guangzhou China;Guangzhou China Qualifying;Hong Kong Hong Kong Qualifying;Hong Kong Hong Kong;Jiujiang China Qualifying;Jiujiang China;Chennai India Qualifying;Chennai India;Hobart Australia Qualifying;Hobart Australia,Canberra Australia Qualifying;Canberra Australia;Oeiras 1 Portugal;Oeiras 1 Portugal Qualifying;Saint Malo France;Vic Spain;Paris France;Parma Italy;Parma Italy Qualifying;Birmingham Great Britain;Bari Italy;Makarska Croatia;Birmingham Great Britain Qualifying;Jingshan China;Jingshan China Qualifying;Bari Italy Qualifying;Makarska Croatia Qualifying;Ilkley Great Britain;Grado Italy;Valencia Spain;Ilkley Great Britain Qualifying;Grado Italy Qualifying;Valencia Spain Qualifying;Newport Ri United States;Bastad Sweden;Contrexeville France;Newport Ri United States Qualifying;Bastad Sweden Qualifying;Contrexeville France Qualifying;Rome Italy;Porto Portugal;Palermo Italy;Rome Italy Qualifying;Porto Portugal Qualifying;Palermo Italy Qualifying;Warsaw Poland;Warsaw Poland Qualifying;Montreux Switzerland;Changsha China;Guadalajara Mexico;Montreux Switzerland Qualifying;Changsha China Qualifying;Guadalajara Mexico Qualifying;Ljubljana Slovenia;Huzhou China;San Sebastian Spain;Ljubljana Slovenia Qualifying;Huzhou China Qualifying;San Sebastian Spain Qualifying;Tolentino Italy;Caldas Da Rainha Portugal;Tolentino Italy Qualifying;Caldas Da Rainha Portugal Qualifying;Rende Italy;Suzhou China;Samsun Turkey;Rende Italy Qualifying;Suzhou China Qualifying;Samsun Turkey Qualifying;Mallorca Spain;Mallorca Spain Qualifying;Jinan China;Rio De Janeiro Brazil;Tampico Mexico;Jinan China Qualifying;Rio De Janeiro Brazil Qualifying;Tampico Mexico Qualifying;Rovereto Italy;Queretaro Mexico;Florianopolis Brazil;Rovereto Italy Qualifying;Queretaro Mexico Qualifying;Florianopolis Brazil Qualifying;Cali Colombia;Cali Colombia Qualifying;Tucuman Argentina Qualifying;Tucuman Argentina;Austin USA;Austin USA Qualifying;Buenos Aires Argentina;Buenos Aires Argentina Qualifying;Colina Chile; Colina Chile Qualifying;Angers France;Quito Ecuador;Angers France Qualifying;Quito Ecuador Qualifying;Limoges France;Limoges France Qualifying;Manila Philippines;Manila Philippines Qualifying;Mumbai India;Mumbai India Qualifying,
