playerName,playerId,playerTeam,playerAbbreviationNames,isActive,comment
Shai Gilgeous-Alexander,4D75B4BFBA80,Oklahoma City Thunder,Shai Gilgeous-Alexander;S. Gilgeous-Alexander;S.Gilgeous-Alexander;Gilgeous-Alexander Shai;SGA,true,
Josh Giddey,7F24EA14A2B8,Chicago Bulls,Josh Giddey;J. Giddey;J.Giddey;Giddey Josh,true,
Jalen Williams,7935817DC4F2,Oklahoma City Thunder,Jalen Williams;J. Williams;J.Williams;Williams Jalen,true,
Chet Holmgren,DC2FB289EB4C,Oklahoma City Thunder,Chet Holmgren;C. Holmgren;C.Holmgren;Holmgren Chet,true,
Anfernee Simons,A08DF5DBBEE9,Boston Celtics,Anfernee Simons;A. Simons;A.Simons;Simons Anfernee,true,
Jerami Grant,628DC7694C25,Portland Trail Blazers,Jerami Grant;J. Grant;J.Grant;Grant Jerami,true,
Deandre Ayton,54818F8E80E9,Los Angeles Lakers,Deandre Ayton;D. Ayton;D.Ayton;Ayton Deandre,true,
Jordan Clarkson,52CD7317B8FA,New York Knicks,Jordan Clarkson;J. Clarkson;J.Clarkson;Clarkson Jordan,true,
Lauri Markkanen,CC05C7A93A71,Utah Jazz,Lauri Markkanen;L. Markkanen;L.Markkanen;Markkanen Lauri,true,
John Collins,705A1539F76B,Los Angeles Clippers,John Collins;J. Collins;J.Collins;Collins John,true,
Stephen Curry,30C9ABBBF692,Golden State Warriors,Stephen Curry;S. Curry;S.Curry;Curry Stephen,true,
Klay Thompson,DA365D7F0D5B,Dallas Mavericks,Klay Thompson;K. Thompson;K.Thompson;Thompson Klay,true,
Andrew Wiggins,350A7F7A37E4,Miami Heat,Andrew Wiggins;A. Wiggins;A.Wiggins;Wiggins Andrew,true,
Draymond Green,5D482AB76442,Golden State Warriors,Draymond Green;D. Green;D.Green;Green Draymond,true,
James Harden,CC707B1EADE5,Los Angeles Clippers,James Harden;J. Harden;J.Harden;Harden James,true,
Paul George,0C07D14CC5DC,Philadelphia 76ers,Paul George;P. George;P.George;George Paul,true,
Kawhi Leonard,B97A9B7266A2,Los Angeles Clippers,Kawhi Leonard;K. Leonard;K.Leonard;Leonard Kawhi,true,
Ivica Zubac,674851E026BC,Los Angeles Clippers,Ivica Zubac;I. Zubac;I.Zubac;Zubac Ivica,true,
DAngelo Russell,51A46A138D73,Dallas Mavericks,DAngelo Russell;D. Russell;D.Russell;Russell DAngelo,true,
LeBron James,3C093E0F82BD,Los Angeles Lakers,LeBron James;L. James;L.James;James LeBron,true,
Anthony Davis,1E0E533973C5,Dallas Mavericks,Anthony Davis;A. Davis;A.Davis;Davis Anthony,true,
Devin Booker,E43AC7A304CD,Phoenix Suns,Devin Booker;D. Booker;D.Booker;Booker Devin,true,
