sportName,sportId,typeId,minOdds,maxOdds,description
ATP,156,10041,120,500,First Period Spread
ATP,156,10042,120,500,Second Period Spread
ATP,156,10043,120,500,Third Period Spread
ATP Challenger,157,10001,120,500,Spread
ATP Challenger,157,10002,120,500,Totals
ATP Challenger,157,10013,120,500,Second Spread
ATP Challenger,157,10014,120,500,Second Total
ATP Challenger,157,10031,120,500,First Period Total
ATP Challenger,157,10032,120,500,Second Period Total
ATP Challenger,157,10033,120,500,Third Period Total
ATP Challenger,157,10041,120,500,First Period Spread
ATP Challenger,157,10042,120,500,Second Period Spread
ATP Challenger,157,10043,120,500,Third Period Spread
Euroleague,399,10001,175,215,Spread
Euroleague,399,10002,175,215,Totals
Euroleague,399,10017,180,200,Total Home Team To Score
Euroleague,399,10018,180,200,Total Away Team To Score
Euroleague,399,10031,175,215,First Period Total
Euroleague,399,10032,175,215,Second Period Total
Euroleague,399,10041,175,215,First Period Spread
Euroleague,399,10042,175,215,Second Period Spread
Euroleague,399,10061,175,215,First Period Total Secondary
Euroleague,399,10062,175,215,Second Period Total Secondary
Euroleague,399,10071,175,215,First Period Spread Secondary
Euroleague,399,10072,175,215,Second Period Spread Secondary
Euroleague,399,10118,180,200,Total Home Team To Score First Period Secondary
Euroleague,399,10119,180,200,Total Away Team To Score First Period Secondary
Euroleague,399,10218,180,200,Total Home Team To Score Second Period Secondary
Euroleague,399,10219,180,200,Total Away Team To Score Second Period Secondary
Eurocup,20200,10001,175,215,Spread
Eurocup,20200,10002,175,215,Totals
Spain - Liga ACB,20201,10001,175,215,Spread
Spain - Liga ACB,20201,10002,175,215,Totals
Italy - Lega Basket Serie A,20202,10001,175,215,Spread
Italy - Lega Basket Serie A,20202,10002,175,215,Totals
Germany - BBL,20203,10001,175,215,Spread
Germany - BBL,20203,10002,175,215,Totals
France - LNB Pro A,20204,10001,175,215,Spread
France - LNB Pro A,20204,10002,175,215,Totals
China - CBA,20205,10001,175,215,Spread
China - CBA,20205,10002,175,215,Totals
Australia - NBL,20206,10001,175,215,Spread
Australia - NBL,20206,10002,175,215,Totals
Greece - A1 League,20217,10001,175,215,Spread
Greece - A1 League,20217,10002,175,215,Totals
International - Champions League,20218,10001,175,215,Spread
International - Champions League,20218,10002,175,215,Totals
