our,otherMin
1.05,1.02
1.1,1.05
1.2,1.14
1.3,1.22
1.4,1.3
1.5,1.37
2.0,1.77
2.5,2.15
3.0,2.5
4.0,3.2
8.0,6.0
10.0,7.0
100.0,70.0
200.0,160.0
